Río Chalinga Nodes and Reaches, 0 \ Headflow, 1 \ CA_Gabino Outflow, 2 \ Reach, 3 \ Río Chalinga en La Palmilla (gauge), 3 \ ZR_Gavino Runoff, 4 \ Reach, 5 \ CL_09 Inflow, 6 \ Reach, 7 \ CA_Destiladera Outflow, 8 \ Reach, 9 \ CA_Destiladera Outflow 2,10 \ Reach,11 \ ZR_Destiladera Runoff,12 \ Reach,13 \ CA_Batuco Chalinga Outflow,14 \ Reach,15 \ ZR_Batuco Chalinga Runoff,16 \ Reach,17 \ CA_Molino de Zapallar Outflow,18 \ Reach,19 \ ZR_Molino de Zapallar Runoff,20 \ Reach,21 \ CA_Toma Ranque Outflow,22 \ Reach,23 \ ZR_Ranque Runoff,24 \ Reach,25 \ CA_Palquial Outflow,26 \ Reach,27 \ ZR_Palquial Runoff,28 \ Reach,29 \ CA_Valentino Outflow,30 \ Reach,31 \ ZR_Valentino Runoff,32 \ Reach,33 \ CA_Maravillal Outflow,34 \ Reach,35 \ ZR_Maravillal Runoff,36 \ Reach,37 \ CA_Alameda Outflow,38 \ Reach,39 \ ZR_Alameda Runoff,40 \ Reach,41 \ CA_Cunlagua Outflow,42 \ Reach,43 \ ZR_Cunlagua Runoff,44 \ Reach,45 \ CA_Los Guindos Outflow,46 \ Reach,47 \ ZR_Los Guindos Runoff,48 \ Reach,49 \ CA_Huanque Outflow,50 \ Reach,51 \ ZR_Huanque Runoff,52 \ Reach,53 \ CA_Chanar Chalinga Outflow,54 \ Reach,55 \ ZR_Chanar Chalinga Runoff,56 \ Reach,57 \ CA_Arboleda Grande Outflow,58 \ Reach,59 \ ZR_Arboleda Grande Runoff,60 \ Reach,61 \ CA_Chalinga Outflow,62 \ Reach,63 \ ZR_Chalinga Runoff,64 \ Reach,65 \ ZR_Tebal Runoff,66 \ Reach,67 \ CA_Tebal Outflow,68 \ Reach,69 \ ZR_Chilcas Runoff,70 \ Reach,71 \ CA_Chilcas Outflow,71 \ PC_DES_CHALINGA (gauge),72 \ Reach
dic-05,1.64,1.61,1.61,1.64,1.61,1.6197,1.98437,1.96453,1.96453,1.96453,1.88853,1.88853,1.88853,1.9278,1.6278,1.6278,1.66474,1.75889,1.69989,1.69989,1.71367,2.03926,2.02726,2.02726,2.03075,2.04179,1.75179,1.75179,1.79628,1.96788,1.94968,1.94968,1.94995,1.95892,1.92736,1.92736,1.93106,1.94662,1.91862,1.91862,1.92252,2.07531,1.87531,1.87531,1.90093,1.97884,1.95084,1.95084,1.95295,1.95453,1.81453,1.81453,1.83856,1.88522,1.83522,1.83522,1.83621,1.86565,1.71565,1.71565,1.73371,1.77158,1.65258,1.65258,1.66898,1.71757,1.77507,1.89597,1.66597,1.66597,1.69485,1.69485,1.57485,0.524172,1.57485
ene-06,1.26322,1.23322,1.23322,1.26323,1.23322,1.24325,1.52323,1.50799,1.50799,1.50799,1.43199,1.43199,1.43199,1.47258,1.17258,1.17258,1.20894,1.30185,1.24285,1.24285,1.2557,1.59024,1.57824,1.57824,1.58151,1.59292,1.30292,1.30292,1.34578,1.5231,1.5049,1.5049,1.50517,1.51444,1.48288,1.48288,1.48663,1.50272,1.47472,1.47472,1.47836,1.63954,1.43954,1.43954,1.46341,1.54392,1.51592,1.51592,1.5179,1.5179,1.3779,1.3779,1.39988,1.4481,1.3981,1.3981,1.399,1.42787,1.27787,1.27787,1.29593,1.33506,1.21606,1.21606,1.23126,1.28146,1.3386,1.46353,1.23353,1.23353,1.26075,1.26075,1.14075,0.363013,1.14075
feb-06,1.00238,0.972377,0.972377,1.00238,0.972377,0.982404,1.20374,1.1917,1.1917,1.1917,1.1157,1.1157,1.1157,1.15629,0.856285,0.856285,0.876285,0.964899,0.905899,0.905899,0.910577,1.24125,1.22925,1.22925,1.23047,1.24188,0.951875,0.951875,0.976,1.15332,1.13512,1.13512,1.13527,1.14454,1.11298,1.11298,1.11567,1.13175,1.10375,1.10375,1.10529,1.26618,1.06618,1.06618,1.07743,1.15793,1.12993,1.12993,1.13045,1.13129,0.991293,0.991293,1.00159,1.04981,0.999809,0.999809,1.0002,1.02973,0.879733,0.879733,0.892682,0.931814,0.812814,0.812814,0.822403,0.872608,0.900539,1.02547,0.795466,0.795466,0.811195,0.811195,0.691195,0.323889,0.691195
mar-06,0.881612,0.851612,0.851612,0.881613,0.851612,0.860669,1.05486,1.04431,1.04431,1.04431,0.968307,0.968307,0.968307,1.00496,0.704963,0.704963,0.726525,0.808933,0.749933,0.749933,0.75497,1.05008,1.03808,1.03808,1.03931,1.04962,0.759617,0.759617,0.780602,0.940759,0.922559,0.922559,0.922721,0.931097,0.899537,0.899537,0.902141,0.916665,0.888665,0.888665,0.88994,1.03198,0.831984,0.831984,0.841228,0.913943,0.885943,0.885943,0.886272,0.896011,0.756011,0.756011,0.762482,0.806038,0.756038,0.756038,0.75631,0.786676,0.636676,0.636676,0.645512,0.680857,0.561857,0.561857,0.567441,0.612787,0.629666,0.742503,0.512503,0.512503,0.520493,0.520493,0.400493,0.204522,0.400493
abr-06,0.803465,0.773465,0.773465,0.803467,0.773465,0.783492,0.960111,0.95051,0.95051,0.95051,0.87451,0.87451,0.87451,0.915093,0.615093,0.615093,0.62866,0.708975,0.649975,0.649975,0.653052,0.980642,0.968642,0.968642,0.969344,0.980754,0.690754,0.690754,0.703294,0.880611,0.862411,0.862411,0.862501,0.871774,0.840214,0.840214,0.841855,0.857936,0.829936,0.829936,0.830683,0.989525,0.789525,0.789525,0.795084,0.87559,0.84759,0.84759,0.847822,0.85987,0.71987,0.71987,0.72393,0.772152,0.722152,0.722152,0.722308,0.756834,0.606834,0.606834,0.612142,0.651274,0.532274,0.532274,0.535556,0.585761,0.595964,0.720891,0.490891,0.490891,0.495444,0.495444,0.375444,0.111641,0.375444
may-06,0.724096,0.694096,0.694096,0.724097,0.694096,0.703801,0.862577,0.853952,0.853952,0.853952,0.777952,0.777952,0.777952,0.817226,0.517226,0.517226,0.522275,0.598585,0.539585,0.539585,0.540398,0.854374,0.842374,0.842374,0.842585,0.853627,0.563627,0.563627,0.568569,0.740166,0.721966,0.721966,0.722005,0.730979,0.699419,0.699419,0.700251,0.715813,0.687813,0.687813,0.688175,0.838351,0.638351,0.638351,0.640793,0.718702,0.690702,0.690702,0.69084,0.703133,0.563133,0.563133,0.565275,0.611941,0.561941,0.561941,0.562021,0.596332,0.446332,0.446332,0.448127,0.485997,0.366997,0.366997,0.368491,0.417077,0.422224,0.543121,0.313121,0.313121,0.31528,0.31528,0.19528,0,0.19528
jun-06,0.70343,0.67343,0.67343,0.703433,0.67343,0.683457,0.837589,0.829213,0.829213,0.829213,0.753213,0.753213,0.753213,0.793796,0.493796,0.493796,0.502357,0.585715,0.526715,0.526715,0.530183,0.853447,0.841447,0.841447,0.842611,0.85402,0.56402,0.56402,0.574872,0.752189,0.733989,0.733989,0.734181,0.743455,0.711895,0.711895,0.712309,0.72839,0.70039,0.70039,0.701783,0.856222,0.656222,0.656222,0.662927,0.743433,0.715433,0.715433,0.715743,0.729083,0.589083,0.589083,0.593171,0.641393,0.591393,0.591393,0.591601,0.627656,0.477656,0.477656,0.484211,0.523343,0.404343,0.404343,0.408238,0.458443,0.47569,0.600617,0.370617,0.370617,0.377423,0.377423,0.257423,0.0107795,0.257423
jul-06,0.885611,0.855611,0.855611,0.885613,0.855611,0.865315,1.0604,1.0498,1.0498,1.0498,0.973796,0.973796,0.973796,1.01307,0.71307,0.71307,0.721771,0.811359,0.752359,0.752359,0.755582,1.06697,1.05497,1.05497,1.05606,1.06711,0.777106,0.777106,0.789961,0.961559,0.943359,0.943359,0.943568,0.952543,0.920983,0.920983,0.921557,0.937119,0.909119,0.909119,0.910664,1.05751,0.857505,0.857505,0.865948,0.943857,0.915857,0.915857,0.916205,0.930012,0.790012,0.790012,0.795748,0.842414,0.792414,0.792414,0.79267,0.828173,0.678173,0.678173,0.687436,0.725306,0.606306,0.606306,0.613411,0.661997,0.684542,0.805439,0.575439,0.575439,0.587346,0.587346,0.467346,0.0647838,0.467346
ago-06,0.894773,0.864773,0.864773,0.894774,0.864773,0.874801,1.07195,1.06123,1.06123,1.06123,0.985226,0.985226,0.985226,1.02581,0.725809,0.725809,0.731575,0.832775,0.773775,0.773775,0.775513,1.09892,1.08692,1.08692,1.08736,1.09877,0.808767,0.808767,0.81464,0.991958,0.973758,0.973758,0.973776,0.983049,0.951489,0.951489,0.952175,0.968256,0.940256,0.940256,0.940659,1.09534,0.895345,0.895345,0.898328,0.978834,0.950834,0.950834,0.951118,0.965385,0.825385,0.825385,0.828234,0.876456,0.826456,0.826456,0.826565,0.863252,0.713252,0.713252,0.71615,0.755282,0.636282,0.636282,0.638271,0.688476,0.695461,0.820388,0.590388,0.590388,0.593672,0.593672,0.473672,0.00441118,0.473672
sept-06,0.746296,0.716296,0.716296,0.7463,0.716296,0.726324,0.890092,0.881191,0.881191,0.881191,0.805191,0.805191,0.805191,0.845774,0.545774,0.545774,0.557248,0.652916,0.593916,0.593916,0.597523,0.921789,0.909789,0.909789,0.910671,0.92208,0.63208,0.63208,0.644674,0.821992,0.803792,0.803792,0.803844,0.813117,0.781557,0.781557,0.782975,0.799056,0.771056,0.771056,0.771969,0.9289,0.7289,0.7289,0.735765,0.816272,0.788272,0.788272,0.788878,0.80123,0.66123,0.66123,0.66765,0.715872,0.665872,0.665872,0.666135,0.701956,0.551956,0.551956,0.558884,0.598016,0.479016,0.479016,0.483523,0.533729,0.550277,0.675204,0.445204,0.445204,0.452891,0.452891,0.332891,0.00665224,0.332891
oct-06,0.879096,0.849096,0.849096,0.879097,0.849096,0.8588,1.05242,1.0419,1.0419,1.0419,0.965896,0.965896,0.965896,1.00517,0.70517,0.70517,0.716198,0.80952,0.75052,0.75052,0.75425,1.06601,1.05401,1.05401,1.05496,1.066,0.776004,0.776004,0.788484,0.960082,0.941882,0.941882,0.941934,0.950909,0.919349,0.919349,0.920797,0.936359,0.908359,0.908359,0.909287,1.05759,0.857594,0.857594,0.86485,0.942759,0.914759,0.914759,0.915418,0.925262,0.785262,0.785262,0.791642,0.838309,0.788309,0.788309,0.788608,0.822094,0.672094,0.672094,0.678367,0.716237,0.597237,0.597237,0.601333,0.649919,0.665574,0.786472,0.556472,0.556472,0.563585,0.563585,0.443585,0.245719,0.443585
nov-06,0.861632,0.831632,0.831632,0.861633,0.831632,0.84166,1.03135,1.02104,1.02104,1.02104,0.945041,0.945041,0.945041,0.985624,0.685624,0.685624,0.715725,0.817893,0.758893,0.758893,0.770136,1.09372,1.08172,1.08172,1.08461,1.09602,0.806021,0.806021,0.842476,1.01979,1.00159,1.00159,1.0018,1.01108,0.979516,0.979516,0.9827,0.998781,0.970781,0.970781,0.974027,1.12919,0.929193,0.929193,0.950729,1.03123,1.00323,1.00323,1.00521,1.01503,0.87503,0.87503,0.895713,0.943935,0.893935,0.893935,0.894771,0.929087,0.779087,0.779087,0.797141,0.836273,0.717273,0.717273,0.731194,0.781399,0.834955,0.959882,0.729882,0.729882,0.755294,0.755294,0.635294,0.198441,0.635294
dic-06,0.715255,0.685255,0.685255,0.715258,0.685255,0.694959,0.851749,0.843232,0.843232,0.843232,0.767232,0.767232,0.767232,0.806506,0.506506,0.506506,0.543437,0.636207,0.577207,0.577207,0.590987,0.904528,0.892528,0.892528,0.896015,0.907056,0.617056,0.617056,0.661546,0.833143,0.814943,0.814943,0.815214,0.824188,0.792628,0.792628,0.796323,0.811885,0.783885,0.783885,0.787787,0.939877,0.739877,0.739877,0.765491,0.8434,0.8154,0.8154,0.817514,0.818446,0.678446,0.678446,0.702472,0.749139,0.699139,0.699139,0.700123,0.729208,0.579208,0.579208,0.597263,0.635133,0.516133,0.516133,0.532536,0.581122,0.638628,0.759525,0.529525,0.529525,0.558404,0.558404,0.438404,0.19465,0.438404
ene-07,0.639225,0.609225,0.609225,0.639226,0.609225,0.619253,0.75895,0.751361,0.751361,0.751361,0.675361,0.675361,0.675361,0.715944,0.415944,0.415944,0.452313,0.545214,0.486214,0.486214,0.49907,0.82207,0.81007,0.81007,0.813333,0.824743,0.534743,0.534743,0.577606,0.754924,0.736724,0.736724,0.736994,0.746267,0.714707,0.714707,0.718461,0.734541,0.706541,0.706541,0.710182,0.867485,0.682559,0.682559,0.706428,0.786934,0.761044,0.761044,0.762999,0.762999,0.633551,0.633551,0.655524,0.703746,0.657514,0.657514,0.658415,0.687287,0.548593,0.548593,0.565286,0.604418,0.494388,0.494388,0.509585,0.55979,0.612961,0.737889,0.525224,0.525224,0.551927,0.551927,0.440972,0.134708,0.440972
feb-07,0.695842,0.665842,0.665842,0.695845,0.665842,0.675869,0.828295,0.820012,0.820012,0.820012,0.744012,0.744012,0.744012,0.784595,0.484595,0.484595,0.513519,0.602133,0.543133,0.543133,0.551104,0.873986,0.861986,0.861986,0.864062,0.875471,0.585471,0.585471,0.616431,0.793748,0.775548,0.775548,0.775779,0.785053,0.753493,0.753493,0.756829,0.77291,0.74491,0.74491,0.74707,0.90372,0.70372,0.70372,0.718727,0.793165,0.765165,0.765165,0.765977,0.765977,0.625977,0.625977,0.637802,0.68239,0.63239,0.63239,0.632915,0.659688,0.509688,0.509688,0.524328,0.560511,0.441511,0.441511,0.4511,0.497521,0.52925,0.644761,0.414761,0.414761,0.430489,0.430489,0.310489,0.0564476,0.310489
mar-07,0.621998,0.591998,0.591998,0.622,0.591998,0.601055,0.736881,0.729512,0.729512,0.729512,0.653512,0.653512,0.653512,0.690168,0.390168,0.390168,0.41173,0.487775,0.428775,0.428775,0.433812,0.726182,0.714182,0.714182,0.715415,0.72572,0.43572,0.43572,0.456704,0.616862,0.598662,0.598662,0.598823,0.607199,0.575639,0.575639,0.578243,0.592768,0.564768,0.564768,0.566042,0.708028,0.528086,0.528086,0.53733,0.610045,0.584853,0.584853,0.585182,0.59312,0.46716,0.46716,0.473631,0.517187,0.472201,0.472201,0.472473,0.50184,0.366884,0.366884,0.37572,0.411065,0.303999,0.303999,0.309583,0.354929,0.371808,0.484645,0.277712,0.277712,0.285702,0.285702,0.177736,0,0.177736
abr-07,0.570031,0.540031,0.540031,0.570033,0.540031,0.550058,0.674202,0.66746,0.66746,0.66746,0.59146,0.59146,0.59146,0.632043,0.332043,0.332043,0.345609,0.425924,0.366924,0.366924,0.370001,0.694351,0.682351,0.682351,0.683053,0.694463,0.404463,0.404463,0.417003,0.59432,0.57612,0.57612,0.57621,0.585483,0.553923,0.553923,0.555564,0.571645,0.543645,0.543645,0.544392,0.702796,0.537887,0.537887,0.543447,0.615879,0.592791,0.592791,0.593023,0.603641,0.488205,0.488205,0.492265,0.535651,0.494424,0.494424,0.494579,0.525426,0.401745,0.401745,0.407053,0.44226,0.34414,0.34414,0.347421,0.392592,0.402795,0.515193,0.325548,0.325548,0.330101,0.330101,0.231156,0,0.231156
may-07,0.489288,0.462969,0.462969,0.48929,0.462969,0.472673,0.578665,0.572878,0.572878,0.572878,0.506202,0.506202,0.506202,0.545476,0.282278,0.282278,0.286977,0.363287,0.311524,0.311524,0.312279,0.623436,0.612908,0.612908,0.613104,0.624145,0.369721,0.369721,0.374222,0.54582,0.529852,0.529852,0.529888,0.538862,0.511174,0.511174,0.511964,0.527526,0.502961,0.502961,0.503282,0.652484,0.510934,0.510934,0.513104,0.577343,0.557526,0.557526,0.557642,0.567514,0.468429,0.468429,0.470319,0.508797,0.47341,0.47341,0.473479,0.501561,0.395399,0.395399,0.396916,0.428142,0.34392,0.34392,0.345231,0.385292,0.389752,0.489437,0.326655,0.326655,0.328482,0.328482,0.243552,0.000000493,0.243552
jun-07,0.527033,0.498683,0.498683,0.527033,0.498683,0.507481,0.621957,0.615738,0.615738,0.615738,0.543918,0.543918,0.543918,0.579523,0.296022,0.296022,0.310717,0.38175,0.325995,0.325995,0.331971,0.612989,0.601649,0.601649,0.603637,0.613647,0.339597,0.339597,0.358213,0.513778,0.496579,0.496579,0.496897,0.505033,0.475209,0.475209,0.476015,0.490123,0.463663,0.463663,0.465958,0.599658,0.44719,0.44719,0.458586,0.515564,0.494218,0.494218,0.494738,0.504052,0.397324,0.397324,0.40416,0.438289,0.400172,0.400172,0.400522,0.425935,0.311584,0.311584,0.322344,0.35004,0.259321,0.259321,0.265893,0.301425,0.329905,0.418322,0.242984,0.242984,0.254228,0.254228,0.162747,0.0109211,0.162747
jul-07,0.666644,0.636644,0.636644,0.666645,0.636644,0.645815,0.791676,0.78376,0.78376,0.78376,0.70776,0.70776,0.70776,0.744874,0.444874,0.444874,0.447259,0.535667,0.476667,0.476667,0.477299,0.769019,0.757019,0.757019,0.757163,0.767597,0.477597,0.477597,0.479667,0.641827,0.623627,0.623627,0.623631,0.632112,0.600552,0.600552,0.600865,0.615572,0.587572,0.587572,0.587726,0.726268,0.53341,0.53341,0.534507,0.5939,0.5669,0.5669,0.567031,0.577556,0.442556,0.442556,0.443802,0.479378,0.431163,0.431163,0.431205,0.45827,0.313627,0.313627,0.314572,0.343442,0.228692,0.228692,0.229259,0.266298,0.269019,0.361184,0.139397,0.139397,0.140305,0.140305,0.0245907,0.00570304,0.0245907
ago-07,0.578319,0.548319,0.548319,0.578323,0.548319,0.558347,0.684353,0.67751,0.67751,0.67751,0.60151,0.60151,0.60151,0.642093,0.342093,0.342093,0.343478,0.436932,0.377932,0.377932,0.378213,0.699756,0.687756,0.687756,0.68781,0.699219,0.409219,0.409219,0.409581,0.586899,0.568699,0.568699,0.568752,0.578026,0.546466,0.546466,0.546631,0.562711,0.534711,0.534711,0.534864,0.690317,0.523011,0.523011,0.523329,0.60096,0.577537,0.577537,0.577564,0.590438,0.473324,0.473324,0.473406,0.519906,0.478079,0.478079,0.478091,0.513135,0.387655,0.387655,0.387833,0.425567,0.32602,0.32602,0.326176,0.374588,0.375999,0.496465,0.304063,0.304063,0.304104,0.304104,0.20372,0.00211712,0.20372
sept-07,0.621366,0.591366,0.591366,0.621367,0.591366,0.601393,0.737076,0.729705,0.729705,0.729705,0.653705,0.653705,0.653705,0.694288,0.394288,0.394288,0.405763,0.504888,0.445888,0.445888,0.449495,0.769422,0.757422,0.757422,0.758304,0.769714,0.479714,0.479714,0.492307,0.669625,0.651425,0.651425,0.651477,0.66075,0.62919,0.62919,0.630608,0.646689,0.618689,0.618689,0.619602,0.773922,0.594163,0.594163,0.601028,0.668374,0.643208,0.643208,0.643814,0.655563,0.529732,0.529732,0.536152,0.576491,0.531552,0.531552,0.531814,0.562504,0.427684,0.427684,0.434612,0.467347,0.360391,0.360391,0.364898,0.406896,0.423444,0.52795,0.321227,0.321227,0.328914,0.328914,0.221059,0.0103908,0.221059
oct-07,0.760417,0.730417,0.730417,0.760419,0.730417,0.740121,0.907063,0.897992,0.897992,0.897992,0.821992,0.821992,0.821992,0.861266,0.561266,0.561266,0.579303,0.672625,0.613625,0.613625,0.619571,0.929825,0.917825,0.917825,0.919352,0.930393,0.640393,0.640393,0.661692,0.833289,0.815089,0.815089,0.815206,0.82418,0.79262,0.79262,0.794901,0.810464,0.782464,0.782464,0.784201,0.932256,0.732256,0.732256,0.744266,0.81429,0.78629,0.78629,0.787322,0.795769,0.655769,0.655769,0.667182,0.709125,0.659125,0.659125,0.6596,0.689494,0.539494,0.539494,0.551321,0.585358,0.466358,0.466358,0.474212,0.517881,0.547258,0.65592,0.42592,0.42592,0.439842,0.439842,0.319842,0,0.319842
nov-07,0.700332,0.670332,0.670332,0.700333,0.670332,0.680359,0.833794,0.825456,0.825456,0.825456,0.749456,0.749456,0.749456,0.790039,0.490039,0.490039,0.52014,0.616776,0.557776,0.557776,0.569018,0.891748,0.879748,0.879748,0.882635,0.894044,0.604044,0.604044,0.640272,0.817589,0.799389,0.799389,0.799598,0.808871,0.777311,0.777311,0.780474,0.796555,0.768555,0.768555,0.77178,0.927694,0.727694,0.727694,0.749089,0.829595,0.801595,0.801595,0.803556,0.810857,0.670857,0.670857,0.69141,0.739633,0.689633,0.689633,0.690463,0.72338,0.57338,0.57338,0.591434,0.630566,0.511566,0.511566,0.525393,0.575598,0.628799,0.753726,0.523726,0.523726,0.548966,0.548966,0.428966,0.0839857,0.428966
dic-07,0.586708,0.556708,0.556708,0.58671,0.556708,0.566413,0.694305,0.687362,0.687362,0.687362,0.611362,0.611362,0.611362,0.650635,0.350635,0.350635,0.387567,0.480336,0.421336,0.421336,0.435117,0.746709,0.734709,0.734709,0.738196,0.749237,0.459237,0.459237,0.503727,0.675325,0.657125,0.657125,0.657395,0.666369,0.634809,0.634809,0.638504,0.654067,0.626067,0.626067,0.629968,0.781642,0.611909,0.611909,0.637523,0.715433,0.69167,0.69167,0.693464,0.694467,0.575654,0.575654,0.597807,0.644474,0.602041,0.602041,0.603025,0.63215,0.504851,0.504851,0.520173,0.558042,0.457051,0.457051,0.473455,0.522041,0.570844,0.691741,0.496548,0.496548,0.521057,0.521057,0.419218,0.0530694,0.419218
ene-08,0.53616,0.507319,0.507319,0.536161,0.507319,0.517346,0.633875,0.627536,0.627536,0.627536,0.554472,0.554472,0.554472,0.595056,0.306645,0.306645,0.343014,0.435916,0.379195,0.379195,0.39205,0.713446,0.701909,0.701909,0.705173,0.716582,0.437786,0.437786,0.480649,0.657967,0.64047,0.64047,0.64074,0.650014,0.619673,0.619673,0.623426,0.639507,0.612588,0.612588,0.616229,0.772863,0.617754,0.617754,0.641622,0.709945,0.68823,0.68823,0.689869,0.689869,0.581292,0.581292,0.601536,0.642461,0.603684,0.603684,0.604584,0.627904,0.511572,0.511572,0.525574,0.558784,0.466494,0.466494,0.481692,0.524299,0.568897,0.674918,0.496543,0.496543,0.51894,0.51894,0.425874,0,0.425874
feb-08,0.492964,0.466446,0.466446,0.492966,0.466446,0.476087,0.582905,0.577076,0.577076,0.577076,0.509898,0.509898,0.509898,0.548914,0.283739,0.283739,0.309793,0.394438,0.342287,0.342287,0.349297,0.658522,0.647915,0.647915,0.649741,0.660709,0.404374,0.404374,0.432852,0.603319,0.587232,0.587232,0.587438,0.596353,0.568457,0.568457,0.571545,0.587004,0.562255,0.562255,0.564211,0.715051,0.572438,0.572438,0.586202,0.648638,0.628672,0.628672,0.629399,0.629399,0.52957,0.52957,0.540584,0.577982,0.542329,0.542329,0.54281,0.564113,0.457154,0.457154,0.470028,0.500376,0.415522,0.415522,0.42478,0.463717,0.493618,0.590505,0.4265,0.4265,0.441686,0.441686,0.356119,0,0.356119
mar-08,0.477449,0.451766,0.451766,0.477452,0.451766,0.460058,0.563389,0.557755,0.557755,0.557755,0.492692,0.492692,0.492692,0.52625,0.26942,0.26942,0.290982,0.360569,0.310059,0.310059,0.315096,0.580774,0.570501,0.570501,0.571734,0.581168,0.3329,0.3329,0.353884,0.500506,0.484925,0.484925,0.485086,0.492754,0.465736,0.465736,0.46834,0.481637,0.457666,0.457666,0.458941,0.5873,0.449175,0.449175,0.458419,0.512121,0.492783,0.492783,0.493112,0.498041,0.401354,0.401354,0.407825,0.439992,0.40546,0.40546,0.405733,0.426636,0.323042,0.323042,0.331878,0.357981,0.275797,0.275797,0.28138,0.31487,0.331749,0.415083,0.25624,0.25624,0.264229,0.264229,0.181354,0,0.181354
abr-08,0.453765,0.429357,0.429357,0.453767,0.429357,0.437941,0.535948,0.530588,0.530588,0.530588,0.468752,0.468752,0.468752,0.503496,0.259407,0.259407,0.272068,0.337601,0.289597,0.289597,0.292373,0.56883,0.559066,0.559066,0.55969,0.569457,0.333505,0.333505,0.345133,0.496934,0.482126,0.482126,0.482207,0.490146,0.464468,0.464468,0.466023,0.47979,0.457009,0.457009,0.457671,0.590968,0.459695,0.459695,0.464693,0.520292,0.501914,0.501914,0.502101,0.509736,0.417845,0.417845,0.421515,0.454818,0.422,0.422,0.422135,0.445311,0.346856,0.346856,0.351734,0.378759,0.300652,0.300652,0.303744,0.338417,0.347203,0.433481,0.282517,0.282517,0.286726,0.286726,0.207962,0,0.207962
may-08,0.43532,0.411903,0.411903,0.435323,0.411903,0.419798,0.513659,0.508522,0.508522,0.508522,0.4492,0.4492,0.4492,0.481155,0.246987,0.246987,0.249965,0.308439,0.262386,0.262386,0.264191,0.516096,0.506729,0.506729,0.507324,0.516307,0.289946,0.289946,0.293983,0.4336,0.419393,0.419393,0.419449,0.42675,0.402116,0.402116,0.402156,0.414818,0.392963,0.392963,0.393568,0.511824,0.385887,0.385887,0.388709,0.439845,0.422214,0.422214,0.422376,0.430214,0.342058,0.342058,0.343692,0.374322,0.342838,0.342838,0.342934,0.365205,0.270752,0.270752,0.273894,0.29875,0.223817,0.223817,0.225296,0.257186,0.264561,0.343914,0.199086,0.199086,0.202129,0.202129,0.126566,0.00413375,0.126566
jun-08,0.44483,0.420902,0.420902,0.444833,0.420902,0.428729,0.524727,0.51948,0.51948,0.51948,0.458862,0.458862,0.458862,0.490539,0.251256,0.251256,0.257048,0.32312,0.276061,0.276061,0.278801,0.527579,0.518007,0.518007,0.518932,0.527838,0.29653,0.29653,0.303634,0.44204,0.427524,0.427524,0.427659,0.434897,0.409725,0.409725,0.40995,0.422502,0.400169,0.400169,0.401127,0.517624,0.388936,0.388936,0.393538,0.444231,0.426214,0.426214,0.426431,0.435414,0.345332,0.345332,0.347942,0.378307,0.346134,0.346134,0.346278,0.369378,0.272862,0.272862,0.277154,0.301795,0.225225,0.225225,0.227557,0.259171,0.2704,0.349065,0.201073,0.201073,0.20529,0.20529,0.128077,0.0110619,0.128077
jul-08,0.496494,0.469787,0.469787,0.496497,0.469787,0.477527,0.585637,0.57978,0.57978,0.57978,0.512121,0.512121,0.512121,0.543447,0.276373,0.276373,0.277799,0.345331,0.292807,0.292807,0.293211,0.538953,0.52827,0.52827,0.528437,0.537243,0.279072,0.279072,0.281304,0.418172,0.401969,0.401969,0.402029,0.409187,0.381091,0.381091,0.381129,0.393542,0.368615,0.368615,0.368926,0.484352,0.340717,0.340717,0.342584,0.392714,0.372605,0.372605,0.37266,0.381543,0.280999,0.280999,0.282236,0.312263,0.276355,0.276355,0.27641,0.299255,0.191529,0.191529,0.193906,0.218273,0.132811,0.132811,0.134625,0.165888,0.17135,0.24914,0.0839603,0.0839603,0.0870981,0.0870981,0.000917336,0.00577804,0.000917336
ago-08,0.945915,0.915915,0.915915,0.945916,0.915915,0.924843,1.13412,1.12277,1.12277,1.12277,1.04677,1.04677,1.04677,1.0829,0.782903,0.782903,0.798512,0.883182,0.824182,0.824182,0.829913,1.1139,1.1019,1.1019,1.10381,1.11397,0.82397,0.82397,0.843495,1.00135,0.983152,0.983152,0.983516,0.991772,0.960212,0.960212,0.961115,0.975431,0.947431,0.947431,0.949901,1.07999,0.879995,0.879995,0.892055,0.949872,0.921872,0.921872,0.922379,0.932625,0.792625,0.792625,0.799512,0.834143,0.784143,0.784143,0.784512,0.81086,0.66086,0.66086,0.671678,0.699782,0.580782,0.580782,0.587076,0.623132,0.652497,0.742216,0.512216,0.512216,0.522994,0.522994,0.402994,0,0.402994
sept-08,1.08533,1.05533,1.05533,1.08533,1.05533,1.06536,1.30534,1.29229,1.29229,1.29229,1.21629,1.21629,1.21629,1.25687,0.956872,0.956872,0.967984,1.07071,1.01171,1.01171,1.01519,1.34397,1.33197,1.33197,1.33282,1.34423,1.05423,1.05423,1.06637,1.24369,1.22549,1.22549,1.22554,1.23481,1.20325,1.20325,1.20462,1.2207,1.1927,1.1927,1.19358,1.34638,1.14638,1.14638,1.15297,1.23348,1.20548,1.20548,1.20606,1.22033,1.08033,1.08033,1.08649,1.13471,1.08471,1.08471,1.08496,1.12165,0.971648,0.971648,0.978289,1.01742,0.898421,0.898421,0.902739,0.952944,0.968783,1.09371,0.86371,0.86371,0.871054,0.871054,0.751054,0.103359,0.751054
